"Circo","Inscrits","Votants","Blancs","Nuls","ARTHAUD","ASSELINEAU","CHEMINADE","DUPONT-AIGNAN","FILLON","HAMON","LASSALLE","LE PEN","MACRON","MÉLENCHON","POUTOU"
"33-07",77005,62208,1023,365,227,489,106,2436,9460,5664,1044,7160,19183,14216,835
"33-08",109207,88205,1394,537,351,673,174,4103,21225,4424,1887,16288,21292,14730,1127
"33-09",93615,77774,1446,600,468,631,155,3498,11300,5461,2018,15675,18117,17212,1193
"33-10",80818,65081,1089,480,294,460,127,2858,11309,3858,1423,16011,14164,12023,985
"33-11",92975,74158,1356,620,502,555,140,3806,9570,4074,1497,22219,14009,14479,1331
"33-12",83429,69195,1200,526,359,521,122,2974,11114,4631,1817,14396,15663,14803,1069
"34-01",84607,66922,1067,360,215,727,94,2316,12502,3779,726,14499,14964,15177,496
"34-02",60414,44262,626,224,152,502,64,885,6899,4122,297,4766,10671,14634,420
"34-03",85109,70784,1108,408,202,692,94,2655,14410,4585,763,13168,17397,14758,544
"34-04",111930,92999,1508,586,402,913,113,3718,14931,5208,1429,22871,18812,21625,883
"34-05",94275,76871,1295,601,411,651,124,2977,10940,4192,1588,22279,13126,17772,915
"34-06",91224,71229,1093,442,285,504,97,2592,12705,3016,1052,23726,11855,13329,533
"34-07",102086,81569,1286,585,362,589,111,3092,14921,3542,1004,25587,13548,16225,717
"34-08",88586,70744,1080,484,261,686,110,2651,10960,4117,841,17996,14417,16527,614
"34-09",82111,65644,986,441,206,655,87,2273,12071,3619,761,16227,13831,13949,538
"35-01",89581,73262,1046,384,443,505,130,2637,10924,8344,416,7177,24084,16437,735
"35-02",92235,78994,1110,376,417,460,134,2592,14902,8171,497,7035,27141,15418,741
"35-03",86076,73055,1318,543,559,465,123,3356,12119,6177,584,11419,21186,14322,884
"35-04",90205,76458,1369,518,621,526,147,4099,12147,5969,637,14125,20115,15081,1104
"35-05",103147,88489,1641,745,779,568,143,4969,18529,5810,671,13241,25376,14932,1085
"35-06",86855,73666,1421,686,677,487,137,3986,14412,5067,680,13670,19182,12272,989
"35-07",98661,80624,1196,552,537,547,106,3276,19373,5419,657,12755,21956,13389,861
"35-08",83382,68874,877,305,305,435,101,1907,11628,8461,389,5224,22333,16243,666
"36-01",80311,62320,1324,605,586,512,132,3148,11906,3505,751,14195,13064,11821,771
"36-02",90098,73178,1757,878,804,586,166,4029,13570,4281,977,17790,14237,13117,986
"37-01",68655,51842,707,292,286,409,92,1761,11206,4681,350,5627,13829,12101,501
"37-02",88635,73946,1337,599,526,607,151,4392,14549,4455,606,15414,17026,13385,899
"37-03",97490,80300,1541,655,659,596,167,4558,16166,4950,712,15345,19218,14809,924
"37-04",90174,73472,1432,579,665,489,123,3850,14491,4870,690,14388,16953,14051,891
"37-05",83917,69140,1193,460,470,519,146,3891,15784,3942,571,13748,16139,11585,692
"38-01",83137,66652,875,373,214,487,91,1786,15716,5768,400,5838,21303,13382,419
"38-02",77384,59589,977,296,329,609,97,2354,8003,4233,526,11443,15053,15055,614
"38-03",59637,44885,656,236,238,448,68,1618,5620,4096,280,6892,11727,12529,477
"38-04",89807,71971,1233,380,394,664,127,3461,12324,4840,780,14294,17762,14974,738
"38-05",102312,82579,1385,450,413,812,136,4029,13002,6022,809,15746,21522,17403,850
"38-06",83238,65792,1235,519,351,711,111,4037,11094,2888,602,19982,13358,10333,571
"38-07",91433,73857,1567,611,455,683,136,4553,12004,3471,950,21150,14929,12570,778
"38-08",78602,62581,1148,425,320,610,95,3589,10961,3325,618,16113,14063,10749,565
"38-09",97318,77697,1598,520,453,699,152,4135,13106,5120,877,16265,18883,15143,746
"38-10",93640,73231,1356,487,428,835,127,4211,11095,3889,695,20185,15489,13809,625
"39-01",65565,53023,1194,360,388,436,97,2875,9505,2709,665,11901,11509,10765,619
"39-02",55264,44525,923,312,333,458,100,2750,8951,2120,675,9872,9042,8315,674
"39-03",69503,56260,1051,399,427,436,88,2908,9917,2760,654,14337,11345,11251,687
"40-01",101405,82387,1602,642,448,643,138,3981,13487,6927,2831,15757,19390,15591,950
"40-02",112245,91571,1694,529,400,710,123,3676,16712,6843,3714,14521,22934,18739,976
"40-03",96547,80828,1551,777,390,566,112,3367,12288,7788,3945,14699,18749,15646,950
"41-01",82778,65549,1151,454,457,526,111,3714,13124,4584,529,13867,14998,11326,708
"41-02",80317,65289,1284,511,502,456,154,3930,13957,2912,650,17968,12471,9776,718
"41-03",82226,68158,1257,601,583,534,139,4002,15675,3460,664,16827,13170,10474,772
"42-01",65602,49553,867,294,266,471,76,2141,8286,3638,466,9713,11854,10974,507
"42-02",53156,39147,570,217,231,422,66,1469,6963,3141,298,6468,9637,9265,400
"42-03",82438,63862,1331,310,345,609,97,3859,11030,3552,693,15352,14499,11572,613
"42-04",100992,80492,1587,554,521,664,138,4586,12866,4195,999,21153,17033,15329,867
"42-05",101076,81828,1750,671,579,622,136,4824,15471,4083,1177,20020,18247,13394,854
"42-06",107542,87089,1736,717,605,695,154,5810,17232,4089,1408,21516,19407,12854,866
"43-01",97723,80006,1839,715,589,586,160,4891,13773,4021,1480,19319,17985,13591,1057
"43-02",79435,64277,1485,670,454,464,122,3455,12183,3414,1632,12866,14834,11827,871
"44-01",74879,61436,898,132,190,402,96,1820,14432,5729,337,4523,19814,12527,536
"44-02",85800,70574,858,292,236,575,82,1610,14843,7727,353,4375,21370,17650,603
"44-03",92183,74606,1434,305,372,610,114,2683,10837,7532,422,8566,21577,19322,832
"44-04",88921,73652,1250,420,424,549,114,2818,10504,7223,441,8107,22057,18873,872
"44-05",116188,99582,1816,538,485,735,170,4577,18647,7772,709,11641,31292,20124,1076
"44-06",109489,92204,1980,804,740,681,174,4956,17759,5812,830,17491,21880,17692,1405
"44-07",108216,91164,1557,503,512,723,154,4174,23130,4880,723,14268,23445,15952,1143
"44-08",85491,68601,1112,416,578,500,104,2872,8775,5703,526,10998,18364,17777,876
"44-09",117855,99687,1849,731,687,681,178,5665,20437,5988,927,17873,23907,19550,1214
"44-10",114516,99431,1878,707,561,673,168,5371,20339,6774,761,13352,28896,18890,1061
"45-01",75641,61445,988,367,331,489,109,3127,14099,4120,461,9476,17390,9972,516
"45-02",85239,67856,1195,486,441,567,127,3685,13947,4331,571,13807,16504,11473,722
"45-03",70843,58047,1132,443,397,544,116,3894,12062,2796,618,15189,11917,8316,623
"45-04",74602,58877,1056,510,418,537,123,3614,11986,2477,560,17171,10864,8992,569
"45-05",74498,59734,1081,461,460,513,127,3761,11424,2863,553,16442,11864,9484,701
"45-06",71784,58674,945,397,333,459,100,3047,12137,3851,440,11577,14967,9897,524
"46-01",70862,58909,931,620,329,446,129,2410,9515,4165,1446,9871,14751,13519,777
"46-02",65443,55091,983,681,394,425,97,2140,8944,3785,1627,7993,14776,12495,751
